--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| PDO                                          | pdoLabel                                                                              | OOPS                                          | oopsLabel                                                           |
| <http://purl.obolibrary.org/obo/PDO_0000250> | "maize Colletotrichum falcatum Anthracnose stalk rot fungal disease"^^xsd:string      | <http://purl.obolibrary.org/obo/OOPS_1002946> | "Anthracnose leaf blight and anthracnose stalk rot"                 |
| <http://purl.obolibrary.org/obo/PDO_0000057> | "rice stackburn fungal disease"^^xsd:string                                           | <http://purl.obolibrary.org/obo/OOPS_1002872> | "Stackburn (Alternaria leaf spot)"                                  |
| <http://purl.obolibrary.org/obo/PDO_0000024> | "rice sheath brown rot bacterial disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1002865> | "Sheath brown rot"                                                  |
| <http://purl.obolibrary.org/obo/PDO_0000262> | "maize Curvularia inaequalis leaf spot fungal disease"^^xsd:string                    | <http://purl.obolibrary.org/obo/OOPS_1003017> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000023> | "rice grain rot bacterial disease"^^xsd:string                                        | <http://purl.obolibrary.org/obo/OOPS_1002854> | "Grain rot"                                                         |
| <http://purl.obolibrary.org/obo/PDO_0000256> | "maize Physoderma brown spot fungal disease"^^xsd:string                              | <http://purl.obolibrary.org/obo/OOPS_1002987> | "Brown spot (black spot, stalk rot)"                                |
| <http://purl.obolibrary.org/obo/PDO_0000258> | "maize Diplodia leaf spot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003016> | "Southern leaf spot"                                                |
| <http://purl.obolibrary.org/obo/PDO_0000258> | "maize Diplodia leaf spot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003015> | "Diplodia leaf spot or leaf streak"                                 |
| <http://purl.obolibrary.org/obo/PDO_0000181> | "maize Fusarium seedling blight fungal disease"^^xsd:string                           | <http://purl.obolibrary.org/obo/OOPS_1002942> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000181> | "maize Fusarium seedling blight fungal disease"^^xsd:string                           | <http://purl.obolibrary.org/obo/OOPS_1002941> | "Fusarium kernel, root and stalk rot, seed rot and seedling blight" |
| <http://purl.obolibrary.org/obo/PDO_0000233> | "maize Peronosclerospora java downy mildew fungal disease"^^xsd:string                | <http://purl.obolibrary.org/obo/OOPS_1003116> | "Java downy mildew*"                                                |
